Title,Rarity,Image URL
Angel of Sanctions,mythic,http://magiccards.info/scans/en/akh/1.jpg
As Foretold,mythic,http://magiccards.info/scans/en/akh/42.jpg
Bontu the Glorified,mythic,http://magiccards.info/scans/en/akh/82.jpg
Combat Celebrant,mythic,http://magiccards.info/scans/en/akh/125.jpg
Cruel Reality,mythic,http://magiccards.info/scans/en/akh/84.jpg
Gideon of the Trials,mythic,http://magiccards.info/scans/en/akh/14.jpg
"Gideon, Martial Paragon",mythic,http://magiccards.info/scans/en/akh/270.jpg
Glorious End,mythic,http://magiccards.info/scans/en/akh/133.jpg
Hazoret the Fervent,mythic,http://magiccards.info/scans/en/akh/136.jpg
Kefnet the Mindful,mythic,http://magiccards.info/scans/en/akh/59.jpg
"Liliana, Death Wielder",mythic,http://magiccards.info/scans/en/akh/275.jpg
"Liliana, Death's Majesty",mythic,http://magiccards.info/scans/en/akh/97.jpg
"Nissa, Steward of Elements",mythic,http://magiccards.info/scans/en/akh/204.jpg
Oketra the True,mythic,http://magiccards.info/scans/en/akh/21.jpg
Rhonas the Indomitable,mythic,http://magiccards.info/scans/en/akh/182.jpg
"Samut, Voice of Dissent",mythic,http://magiccards.info/scans/en/akh/205.jpg
Vizier of the Menagerie,mythic,http://magiccards.info/scans/en/akh/192.jpg
Anointed Procession,rare,http://magiccards.info/scans/en/akh/2.jpg
Approach of the Second Sun,rare,http://magiccards.info/scans/en/akh/4.jpg
Archfiend of Ifnir,rare,http://magiccards.info/scans/en/akh/78.jpg
Aven Mindcensor,rare,http://magiccards.info/scans/en/akh/5.jpg
Bounty of the Luxa,rare,http://magiccards.info/scans/en/akh/196.jpg
Canyon Slough,rare,http://magiccards.info/scans/en/akh/239.jpg
Cascading Cataracts,rare,http://magiccards.info/scans/en/akh/240.jpg
Champion of Rhonas,rare,http://magiccards.info/scans/en/akh/159.jpg
Channeler Initiate,rare,http://magiccards.info/scans/en/akh/160.jpg
Curator of Mysteries,rare,http://magiccards.info/scans/en/akh/49.jpg
Dispossess,rare,http://magiccards.info/scans/en/akh/86.jpg
Drake Haven,rare,http://magiccards.info/scans/en/akh/51.jpg
Dread Wanderer,rare,http://magiccards.info/scans/en/akh/88.jpg
Fetid Pools,rare,http://magiccards.info/scans/en/akh/243.jpg
Gideon's Intervention,rare,http://magiccards.info/scans/en/akh/15.jpg
Gideon's Resolve,rare,http://magiccards.info/scans/en/akh/272.jpg
Glory-Bound Initiate,rare,http://magiccards.info/scans/en/akh/16.jpg
Glorybringer,rare,http://magiccards.info/scans/en/akh/134.jpg
Glyph Keeper,rare,http://magiccards.info/scans/en/akh/55.jpg
"Hapatra, Vizier of Poisons",rare,http://magiccards.info/scans/en/akh/199.jpg
Harsh Mentor,rare,http://magiccards.info/scans/en/akh/135.jpg
Harvest Season,rare,http://magiccards.info/scans/en/akh/170.jpg
Hazoret's Favor,rare,http://magiccards.info/scans/en/akh/137.jpg
Heart-Piercer Manticore,rare,http://magiccards.info/scans/en/akh/138.jpg
Honored Hydra,rare,http://magiccards.info/scans/en/akh/172.jpg
Irrigated Farmland,rare,http://magiccards.info/scans/en/akh/245.jpg
Liliana's Influence,rare,http://magiccards.info/scans/en/akh/277.jpg
Liliana's Mastery,rare,http://magiccards.info/scans/en/akh/98.jpg
"Neheb, the Worthy",rare,http://magiccards.info/scans/en/akh/203.jpg
New Perspectives,rare,http://magiccards.info/scans/en/akh/63.jpg
Oracle's Vault,rare,http://magiccards.info/scans/en/akh/234.jpg
Plague Belcher,rare,http://magiccards.info/scans/en/akh/104.jpg
Prowling Serpopard,rare,http://magiccards.info/scans/en/akh/180.jpg
Pull from Tomorrow,rare,http://magiccards.info/scans/en/akh/65.jpg
Pyramid of the Pantheon,rare,http://magiccards.info/scans/en/akh/235.jpg
Regal Caracal,rare,http://magiccards.info/scans/en/akh/24.jpg
Sandwurm Convergence,rare,http://magiccards.info/scans/en/akh/183.jpg
Scattered Groves,rare,http://magiccards.info/scans/en/akh/247.jpg
Shadow of the Grave,rare,http://magiccards.info/scans/en/akh/107.jpg
Sheltered Thicket,rare,http://magiccards.info/scans/en/akh/248.jpg
Soul-Scar Mage,rare,http://magiccards.info/scans/en/akh/148.jpg
Sweltering Suns,rare,http://magiccards.info/scans/en/akh/149.jpg
"Temmet, Vizier of Naktamun",rare,http://magiccards.info/scans/en/akh/207.jpg
Throne of the God-Pharaoh,rare,http://magiccards.info/scans/en/akh/237.jpg
Vizier of Many Faces,rare,http://magiccards.info/scans/en/akh/74.jpg
Ahn-Crop Champion,uncommon,http://magiccards.info/scans/en/akh/194.jpg
Ahn-Crop Crasher,uncommon,http://magiccards.info/scans/en/akh/117.jpg
Angler Drake,uncommon,http://magiccards.info/scans/en/akh/41.jpg
Aven Wind Guide,uncommon,http://magiccards.info/scans/en/akh/195.jpg
Baleful Ammit,uncommon,http://magiccards.info/scans/en/akh/79.jpg
Battlefield Scavenger,uncommon,http://magiccards.info/scans/en/akh/118.jpg
Bloodrage Brawler,uncommon,http://magiccards.info/scans/en/akh/121.jpg
Bone Picker,uncommon,http://magiccards.info/scans/en/akh/81.jpg
Bontu's Monument,uncommon,http://magiccards.info/scans/en/akh/225.jpg
By Force,uncommon,http://magiccards.info/scans/en/akh/123.jpg
Cast Out,uncommon,http://magiccards.info/scans/en/akh/8.jpg
Censor,uncommon,http://magiccards.info/scans/en/akh/46.jpg
Companion of the Trials,uncommon,http://magiccards.info/scans/en/akh/271.jpg
Consuming Fervor,uncommon,http://magiccards.info/scans/en/akh/126.jpg
Crocodile of the Crossing,uncommon,http://magiccards.info/scans/en/akh/162.jpg
Cryptic Serpent,uncommon,http://magiccards.info/scans/en/akh/48.jpg
Decimator Beetle,uncommon,http://magiccards.info/scans/en/akh/197.jpg
Deem Worthy,uncommon,http://magiccards.info/scans/en/akh/127.jpg
Defiant Greatmaw,uncommon,http://magiccards.info/scans/en/akh/163.jpg
Desiccated Naga,uncommon,http://magiccards.info/scans/en/akh/276.jpg
Devoted Crop-Mate,uncommon,http://magiccards.info/scans/en/akh/10.jpg
Edifice of Authority,uncommon,http://magiccards.info/scans/en/akh/226.jpg
Embalmer's Tools,uncommon,http://magiccards.info/scans/en/akh/227.jpg
Enigma Drake,uncommon,http://magiccards.info/scans/en/akh/198.jpg
Exemplar of Strength,uncommon,http://magiccards.info/scans/en/akh/165.jpg
Faith of the Devoted,uncommon,http://magiccards.info/scans/en/akh/90.jpg
Flameblade Adept,uncommon,http://magiccards.info/scans/en/akh/131.jpg
Galestrike,uncommon,http://magiccards.info/scans/en/akh/54.jpg
Gate to the Afterlife,uncommon,http://magiccards.info/scans/en/akh/228.jpg
Grasping Dunes,uncommon,http://magiccards.info/scans/en/akh/244.jpg
Gravedigger,uncommon,http://magiccards.info/scans/en/akh/93.jpg
Grim Strider,uncommon,http://magiccards.info/scans/en/akh/94.jpg
Hapatra's Mark,uncommon,http://magiccards.info/scans/en/akh/169.jpg
Hazoret's Monument,uncommon,http://magiccards.info/scans/en/akh/229.jpg
Honored Crop-Captain,uncommon,http://magiccards.info/scans/en/akh/200.jpg
Kefnet's Monument,uncommon,http://magiccards.info/scans/en/akh/231.jpg
Khenra Charioteer,uncommon,http://magiccards.info/scans/en/akh/201.jpg
Labyrinth Guardian,uncommon,http://magiccards.info/scans/en/akh/60.jpg
Lay Bare the Heart,uncommon,http://magiccards.info/scans/en/akh/96.jpg
Lay Claim,uncommon,http://magiccards.info/scans/en/akh/61.jpg
Limits of Solidarity,uncommon,http://magiccards.info/scans/en/akh/140.jpg
Lord of the Accursed,uncommon,http://magiccards.info/scans/en/akh/99.jpg
Manglehorn,uncommon,http://magiccards.info/scans/en/akh/175.jpg
Merciless Javelineer,uncommon,http://magiccards.info/scans/en/akh/202.jpg
Nest of Scarabs,uncommon,http://magiccards.info/scans/en/akh/101.jpg
Oketra's Attendant,uncommon,http://magiccards.info/scans/en/akh/22.jpg
Oketra's Monument,uncommon,http://magiccards.info/scans/en/akh/233.jpg
Open into Wonder,uncommon,http://magiccards.info/scans/en/akh/64.jpg
Protection of the Hekma,uncommon,http://magiccards.info/scans/en/akh/23.jpg
Renewed Faith,uncommon,http://magiccards.info/scans/en/akh/25.jpg
Rhonas's Monument,uncommon,http://magiccards.info/scans/en/akh/236.jpg
Ruthless Sniper,uncommon,http://magiccards.info/scans/en/akh/105.jpg
Sacred Excavation,uncommon,http://magiccards.info/scans/en/akh/67.jpg
Scaled Behemoth,uncommon,http://magiccards.info/scans/en/akh/184.jpg
Seraph of the Suns,uncommon,http://magiccards.info/scans/en/akh/28.jpg
Shadowstorm Vizier,uncommon,http://magiccards.info/scans/en/akh/206.jpg
Shefet Monitor,uncommon,http://magiccards.info/scans/en/akh/186.jpg
Sixth Sense,uncommon,http://magiccards.info/scans/en/akh/187.jpg
Stir the Sands,uncommon,http://magiccards.info/scans/en/akh/110.jpg
Synchronized Strike,uncommon,http://magiccards.info/scans/en/akh/190.jpg
Time to Reflect,uncommon,http://magiccards.info/scans/en/akh/33.jpg
