Title,Rarity,Image URL
nicolbolasgodpharaoh,mythic,http://mythicspoiler.com/hou/cards/nicolbolasgodpharaoh.jpg
thelocustgod,mythic,http://mythicspoiler.com/hou/cards/thelocustgod.jpg
thescarabgod,mythic,http://mythicspoiler.com/hou/cards/thescarabgod.jpg
thescorpiongod,mythic,http://mythicspoiler.com/hou/cards/thescorpiongod.jpg
samutthetested,mythic,http://mythicspoiler.com/hou/cards/samutthetested.jpg
djeruwitheyesopen,rare,http://mythicspoiler.com/hou/cards/djeruwitheyesopen.jpg
uneshcriosphinxsovereign,mythic,http://mythicspoiler.com/hou/cards/uneshcriosphinxsovereign.jpg
razakeththefoulblooded,mythic,http://mythicspoiler.com/hou/cards/razakeththefoulblooded.jpg
nehebtheeternal,mythic,http://mythicspoiler.com/hou/cards/nehebtheeternal.jpg
uncagethemenagerie,mythic,http://mythicspoiler.com/hou/cards/uncagethemenagerie.jpg
oketraslastmercy,rare,http://mythicspoiler.com/hou/cards/oketraslastmercy.jpg
kefnetslastword,rare,http://mythicspoiler.com/hou/cards/kefnetslastword.jpg
bontuslastreckoning,rare,http://mythicspoiler.com/hou/cards/bontuslastreckoning.jpg
hazoretsundyingfury,rare,http://mythicspoiler.com/hou/cards/hazoretsundyingfury.jpg
rhonasslaststand,rare,http://mythicspoiler.com/hou/cards/rhonasslaststand.jpg
hourofrevelation,rare,http://mythicspoiler.com/hou/cards/hourofrevelation.jpg
hourofeternity,rare,http://mythicspoiler.com/hou/cards/hourofeternity.jpg
hourofglory,rare,http://mythicspoiler.com/hou/cards/hourofglory.jpg
hourofpromise,rare,http://mythicspoiler.com/hou/cards/hourofpromise.jpg
gideonsdefeat,uncommon,http://mythicspoiler.com/hou/cards/gideonsdefeat.jpg
jacesdefeat,uncommon,http://mythicspoiler.com/hou/cards/jacesdefeat.jpg
lilianasdefeat,uncommon,http://mythicspoiler.com/hou/cards/lilianasdefeat.jpg
chandrasdefeat,uncommon,http://mythicspoiler.com/hou/cards/chandrasdefeat.jpg
nissasdefeat,uncommon,http://mythicspoiler.com/hou/cards/nissasdefeat.jpg
crestedsunmare,mythic,http://mythicspoiler.com/hou/cards/crestedsunmare.jpg
overwhelmingsplendor,mythic,http://mythicspoiler.com/hou/cards/overwhelmingsplendor.jpg
angelofcondemnation,rare,http://mythicspoiler.com/hou/cards/angelofcondemnation.jpg
solemnity,rare,http://mythicspoiler.com/hou/cards/solemnity.jpg
stewardofsolidarity,uncommon,http://mythicspoiler.com/hou/cards/stewardofsolidarity.jpg
angelofthegodpharaoh,uncommon,http://mythicspoiler.com/hou/cards/angelofthegodpharaoh.jpg
vizierofthetrue,uncommon,http://mythicspoiler.com/hou/cards/vizierofthetrue.jpg
desertshold,uncommon,http://mythicspoiler.com/hou/cards/desertshold.jpg
godpharaohsfaithful,common,http://mythicspoiler.com/hou/cards/godpharaohsfaithful.jpg
steadfastsentinel,common,http://mythicspoiler.com/hou/cards/steadfastsentinel.jpg
adornedpouncer,rare,http://mythicspoiler.com/hou/cards/adornedpouncer.jpg
championofwits,rare,http://mythicspoiler.com/hou/cards/championofwits.jpg
nimbleobstructionist,rare,http://mythicspoiler.com/hou/cards/nimbleobstructionist.jpg
frayingsanity,rare,http://mythicspoiler.com/hou/cards/frayingsanity.jpg
swarmintelligence,rare,http://mythicspoiler.com/hou/cards/swarmintelligence.jpg
eternalofharshtruths,uncommon,http://mythicspoiler.com/hou/cards/eternalofharshtruths.jpg
vizieroftheanointed,uncommon,http://mythicspoiler.com/hou/cards/vizieroftheanointed.jpg
ominoussphinx,uncommon,http://mythicspoiler.com/hou/cards/ominoussphinx.jpg
sinuousstriker,uncommon,http://mythicspoiler.com/hou/cards/sinuousstriker.jpg
supremewill,uncommon,http://mythicspoiler.com/hou/cards/supremewill.jpg
provencombatant,common,http://mythicspoiler.com/hou/cards/provencombatant.jpg
ammiteternal,rare,http://mythicspoiler.com/hou/cards/ammiteternal.jpg
tormentofhailfire,rare,http://mythicspoiler.com/hou/cards/tormentofhailfire.jpg
dreamstealer,rare,http://mythicspoiler.com/hou/cards/dreamstealer.jpg
mercilesseternal,uncommon,http://mythicspoiler.com/hou/cards/mercilesseternal.jpg
razakethsritual,uncommon,http://mythicspoiler.com/hou/cards/razakethsritual.jpg
tormentofscarabs,uncommon,http://mythicspoiler.com/hou/cards/tormentofscarabs.jpg
doomfall,uncommon,http://mythicspoiler.com/hou/cards/doomfall.jpg
accursedhorde,uncommon,http://mythicspoiler.com/hou/cards/accursedhorde.jpg
tormentofvenom,common,http://mythicspoiler.com/hou/cards/tormentofvenom.jpg
khenraeternal,common,http://mythicspoiler.com/hou/cards/khenraeternal.jpg
maraudingboneslasher,common,http://mythicspoiler.com/hou/cards/maraudingboneslasher.jpg
carrionscreecher,common,http://mythicspoiler.com/hou/cards/carrionscreecher.jpg
imminentdoom,rare,http://mythicspoiler.com/hou/cards/imminentdoom.jpg
mawofchaos,rare,http://mythicspoiler.com/hou/cards/mawofchaos.jpg
earthshakerkhenra,rare,http://mythicspoiler.com/hou/cards/earthshakerkhenra.jpg
sandstrangler,uncommon,http://mythicspoiler.com/hou/cards/sandstrangler.jpg
ferventpaincaster,uncommon,http://mythicspoiler.com/hou/cards/ferventpaincaster.jpg
infernojet,uncommon,http://mythicspoiler.com/hou/cards/infernojet.jpg
frontlinedevastator,common,http://mythicspoiler.com/hou/cards/frontlinedevastator.jpg
defiantkhenra,common,http://mythicspoiler.com/hou/cards/defiantkhenra.jpg
khenrascrapper,common,http://mythicspoiler.com/hou/cards/khenrascrapper.jpg
openfire,common,http://mythicspoiler.com/hou/cards/openfire.jpg
gildedcerodon,common,http://mythicspoiler.com/hou/cards/gildedcerodon.jpg
wildfireeternal,rare,http://mythicspoiler.com/hou/cards/wildfireeternal.jpg
abrade,uncommon,http://mythicspoiler.com/hou/cards/abrade.jpg
pridesovereign,rare,http://mythicspoiler.com/hou/cards/pridesovereign.jpg
ramunaphydra,rare,http://mythicspoiler.com/hou/cards/ramunaphydra.jpg
hopetender,uncommon,http://mythicspoiler.com/hou/cards/hopetender.jpg
sidewindernaga,uncommon,http://mythicspoiler.com/hou/cards/sidewindernaga.jpg
oasisritualist,common,http://mythicspoiler.com/hou/cards/oasisritualist.jpg
ramunapexcavator,rare,http://mythicspoiler.com/hou/cards/ramunapexcavator.jpg
bloodwaterentity,uncommon,http://mythicspoiler.com/hou/cards/bloodwaterentity.jpg
unravelingmummy,uncommon,http://mythicspoiler.com/hou/cards/unravelingmummy.jpg
resolutesurvivors,uncommon,http://mythicspoiler.com/hou/cards/resolutesurvivors.jpg
riverhoopoe,uncommon,http://mythicspoiler.com/hou/cards/riverhoopoe.jpg
consignoblivion,uncommon,http://mythicspoiler.com/hou/cards/consignoblivion.jpg
appealauthority,uncommon,http://mythicspoiler.com/hou/cards/appealauthority.jpg
refusecooperate,uncommon,http://mythicspoiler.com/hou/cards/refusecooperate.jpg
farmmarket,uncommon,http://mythicspoiler.com/hou/cards/farmmarket.jpg
strugglesurvive,uncommon,http://mythicspoiler.com/hou/cards/strugglesurvive.jpg
claimfame,uncommon,http://mythicspoiler.com/hou/cards/claimfame.jpg
reasonfight,rare,http://mythicspoiler.com/hou/cards/reasonfight.jpg
drivendespair,rare,http://mythicspoiler.com/hou/cards/drivendespair.jpg
grinddust,rare,http://mythicspoiler.com/hou/cards/grinddust.jpg
godpharaohsgift,rare,http://mythicspoiler.com/hou/cards/godpharaohsgift.jpg
hollowone,rare,http://mythicspoiler.com/hou/cards/hollowone.jpg
miragemirror,rare,http://mythicspoiler.com/hou/cards/miragemirror.jpg
sunsetpyramid,uncommon,http://mythicspoiler.com/hou/cards/sunsetpyramid.jpg
crookcondemnation,uncommon,http://mythicspoiler.com/hou/cards/crookcondemnation.jpg
endlesssands,rare,http://mythicspoiler.com/hou/cards/endlesssands.jpg
scavengergrounds,rare,http://mythicspoiler.com/hou/cards/scavengergrounds.jpg
